service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"58776",1,1,1,1,1,0,0,20260628,20260830
"58775",1,1,1,1,1,1,0,20260628,20260830
"49971",1,1,0,1,0,0,0,20260628,20260830
"26ETE01-_ST_EJEU-Jeudi-01",0,0,0,1,0,0,0,20260702,20260702
"26ETE01-_ST_EVEN-Vendredi-01-0000100",0,0,0,0,1,0,0,20260703,20260703
"26ETE01-LIG08-Dimanche-00",0,0,0,0,0,0,1,20260629,20260828
"59637",1,1,0,1,1,1,0,20260628,20260830
"49961",0,0,0,0,1,0,0,20260628,20260830
"26ETE01-LIG08-Samedi-00",0,0,0,0,0,1,0,20260629,20260828
"49960",0,1,1,1,1,0,0,20260628,20260830
